time,open,high,low,close,vwap,volume,count,ema30,ema100,rsi,atr
2023-11-12,37139.9,37227.6,36727.3,37053.9,37061.8,1172.59629012,18026.0,33621.4705782257,30399.063627054624,80.78667551963197,1063.1967762971783
2023-11-13,37053.9,37423.0,36371.0,36494.1,36830.6,3275.04932855,27332.0,33806.80150866275,30519.7574166179,72.72322588089496,1062.3970065616656
2023-11-14,36494.1,36750.1,34666.0,35544.4,36078.1,4657.82009731,35780.0,33918.904637136126,30619.25528955616,61.50706189454118,1135.3757918072608
2023-11-15,35544.4,37950.0,35361.7,37896.7,36908.3,4451.09716203,43661.0,34175.53659603057,30763.363105604552,72.72708457333339,1239.156092392457
2023-11-16,37896.7,37950.0,35517.2,36159.1,36669.7,6415.89077125,41103.0,34303.50842854473,30870.209380741093,59.03770098015036,1324.4163715072816
2023-11-17,36159.1,36888.0,35851.2,36625.0,36373.3,4591.39266185,31640.0,34453.28207831604,30984.165630627405,61.14931243826449,1303.8723449710474
2023-11-18,36625.0,36850.0,36222.0,36586.1,36549.1,1154.66434705,20436.0,34590.88323455372,31095.095024080325,60.86717908200356,1255.5957489016869
2023-11-19,36586.1,37531.9,36416.4,37373.9,36878.0,1751.8509045,21034.0,34770.432703292194,31219.427795880714,64.44497005763154,1245.5889096944234
2023-11-20,37383.9,37777.0,36715.0,37480.5,37370.0,4171.7237213,31266.0,34945.275754692695,31343.409423685058,64.91243914713368,1232.4754161448218
2023-11-21,37480.5,37655.8,35777.1,35777.1,36924.7,6261.50965349,40500.0,34998.941835035104,31431.205276681394,52.935564124141685,1278.6343149916206
2023-11-22,35777.1,37848.0,35645.0,37428.1,36833.7,6119.78524784,36687.0,35155.66171664574,31549.955667242157,60.53590177291489,1344.660435349362
2023-11-23,37428.1,37624.0,36874.7,37300.9,37334.9,2749.31351434,22735.0,35294.06418653957,31663.835753039344,59.73551961979028,1302.1346899672649
2023-11-24,37300.9,38432.9,37277.2,37710.4,37797.9,4254.02172775,33793.0,35449.95681966605,31783.569698523715,61.500309855792636,1291.6750692553178
2023-11-25,37716.2,37900.0,37614.0,37800.2,37771.0,1204.59670984,17804.0,35601.585411945656,31902.710892612355,61.89473365226092,1219.8411357370808
2023-11-26,37800.2,37810.0,37151.1,37469.9,37483.6,1333.5358221,19626.0,35722.12183698142,32012.952261075476,59.480937449178064,1179.773911755861
2023-11-27,37469.9,37565.6,36720.0,37254.1,37032.8,2144.82136222,25729.0,35820.95913782134,32116.737364816552,57.89240516932996,1155.9043466304422
2023-11-28,37254.1,38390.7,36901.0,37832.7,37771.9,3571.37812702,29544.0,35950.74887086512,32229.924743731073,60.906999751871105,1179.7468932996962
2023-11-29,37832.7,38419.0,37604.9,37870.0,37956.4,2377.63545295,26475.0,36074.5715243577,32341.60940227105,61.10034314457658,1153.6292580640036
2023-11-30,37870.0,38148.9,37501.0,37717.7,37772.4,1732.0766671,20738.0,36180.579813108816,32448.06664183004,59.79985552390213,1117.5057396308605
2023-12-01,37719.0,38924.4,37629.7,38690.0,38567.9,3704.47030493,34053.0,36342.47788968244,32571.669282585877,64.93158522988801,1130.1624725143708
2023-12-02,38690.0,39700.0,38657.1,39477.1,39109.2,1964.85562729,25190.0,36544.71157421906,32708.41048491091,68.4434660234426,1123.9294387633445
2023-12-03,39477.1,40117.2,39299.0,39975.1,39662.8,2138.76982162,25997.0,36766.02695652751,32852.30532679386,70.45918601490888,1102.0916217088197
2023-12-04,39975.1,42415.5,39476.0,41984.7,41352.6,7454.60030785,60143.0,37102.71553997735,33033.144825273186,76.87772787082741,1233.3350773010468
2023-12-05,41983.0,44465.0,41427.1,44080.8,43021.0,5566.77459438,48519.0,37552.91453739816,33251.910274277674,81.41389767059016,1362.2325717795434
2023-12-06,44080.8,44277.2,43335.5,43761.7,43875.7,3558.3081874,37862.0,37953.481341436986,33460.02492231178,78.87696763386862,1332.1945309381474
2023-12-07,43761.7,44041.4,42885.0,43291.7,43452.5,2649.07280081,27193.0,38297.882545215245,33654.711557513525,75.16192685092075,1319.63777872828
2023-12-08,43288.1,44699.0,43120.1,44179.5,43813.6,3595.64137028,29015.0,38677.34173584652,33863.123209839985,77.33361566402732,1338.156508819117
2023-12-09,44179.6,44368.9,43606.0,43709.6,43986.0,1720.15913105,20049.0,39002.0035593403,34058.102948258995,73.66247530976476,1297.06675818918
2023-12-10,43709.7,44040.1,43587.6,43788.0,43816.1,1376.78752819,17220.0,39310.77752325383,34250.774177006344,73.88522355245033,1236.7405611756672
2023-12-11,43788.0,43808.4,39999.0,41236.8,41587.8,6918.90506416,48591.0,39435.03703788263,34389.11132201612,56.99338537600093,1420.5019496631196
2023-12-12,41236.9,42300.0,40662.4,41469.9,41512.9,3827.46433532,28685.0,39566.318519309556,34529.32495920392,57.93956913338911,1436.008953258611
2023-12-13,41470.0,43421.5,40606.6,42889.1,42131.0,3664.05069388,30052.0,39780.69151806378,34694.865059021664,63.242033099667005,1534.501170882996
2023-12-14,42889.1,43380.1,41359.0,43016.1,42760.3,3403.66028483,28367.0,39989.42754915645,34859.64198854599,63.68325366125856,1569.2582301056389
2023-12-15,43016.1,43090.9,41697.5,41943.3,42429.4,2421.86125412,25033.0,40115.48383630765,34999.912444218346,57.41392255502482,1556.696927955236
2023-12-16,41943.3,42664.2,41648.8,42231.5,42224.3,1484.46531222,15154.0,40252.00100815877,35143.11219779818,58.593230453865736,1518.0328616727188
2023-12-17,42231.5,42350.0,41238.0,41344.3,41880.6,2873.78647559,17247.0,40322.4719108582,35265.907995861584,53.66633086118683,1489.0305144103818
2023-12-18,41344.4,42709.4,40515.9,42646.1,41520.7,3401.3447875,26546.0,40472.383400480256,35412.050411785116,59.100704705531136,1539.349763381069
2023-12-19,42644.7,43422.7,41820.0,42267.0,42607.6,3052.46535157,24918.0,40588.16511657831,35547.791987789366,57.00392977623443,1543.8747802824207
2023-12-20,42267.1,44300.0,42231.2,43630.0,43620.5,4004.57037215,29328.0,40784.412528411965,35707.83571080344,62.19687364758421,1581.3694388336767
2023-12-21,43630.0,44236.9,43329.6,43869.3,43777.3,2615.35161211,23990.0,40983.437526578935,35869.44886504496,63.04086536594797,1533.2216217741284
2023-12-22,43869.4,44429.4,43450.1,43997.0,43815.8,2630.83766727,27294.0,41177.86091196094,36030.39047167773,63.50906209495082,1493.655791647405
2023-12-23,43997.0,43999.0,43314.0,43750.1,43697.9,1140.85980407,18437.0,41343.811820866686,36183.256006892036,61.87694863563068,1435.8946636725905
2023-12-24,43750.1,43933.1,42680.0,43014.9,43520.6,2343.63343067,18418.0,41451.62396145593,36318.53608596348,57.16586796646702,1422.837901981691
2023-12-25,43014.9,43777.9,42765.0,43604.1,43365.0,1746.95178352,15998.0,41590.493383297486,36462.80467832064,59.80696510758524,1393.556623268713
2023-12-26,43604.1,43604.1,41637.1,42519.1,42524.0,3180.63617197,26339.0,41650.40348760087,36582.731318353886,53.29071647657608,1434.516864463805
2023-12-27,42519.1,43650.0,42150.2,43468.1,42994.2,2143.684396,20736.0,41767.6742303363,36719.07525264391,57.63823177805846,1439.1799455735334
2023-12-28,43467.2,43792.3,42307.2,42616.4,42903.2,2766.35320471,26383.0,41822.43073160492,36835.85396051235,52.88111678098676,1442.4599494611386
